abandonment	abandon|||verb|||—abandonment
erroneously	erroneous|||adjective|||—erroneously
eruditely	erudite|||adjective|||—eruditely,—erudition
erudition	erudite|||adjective|||—eruditely,—erudition
eruption	erupt|||verb|||—eruption
escalation	escalate|||verb|||—escalation
escapist	escapism|||noun|||—escapist
esoterically	esoteric|||adjective|||—esoterically
espousal	espouse|||verb|||—espousal
estate agency	estate agent|||noun|||—estate agency
esthetic	esthete|||noun|||—esthetic,—esthetical,—esthetically,—esthetics
esthetical	esthete|||noun|||—esthetic,—esthetical,—esthetically,—esthetics
esthetically	esthete|||noun|||—esthetic,—esthetical,—esthetically,—esthetics
esthetics	esthete|||noun|||—esthetic,—esthetical,—esthetically,—esthetics
estimated	estimate|||verb|||—estimated,—estimator
estimator	estimate|||verb|||—estimated,—estimator
Estonian	Estonia|||noun|||—Estonian
estrangement	estranged|||adjective|||—estrangement
e-tail	e-tailer|||noun|||—e-tail
ethereally	ethereal|||adjective|||—ethereally
ethically	ethical|||adjective|||—ethically
Ethiopian	Ethiopia|||noun|||—Ethiopian
ethnically	ethnic|||adjective|||—ethnically
ethnocentricity	ethnocentric|||adjective|||—ethnocentrism,—ethnocentricity
ethnocentrism	ethnocentric|||adjective|||—ethnocentrism,—ethnocentricity
ethnographer	ethnography|||noun|||—ethnographer,—ethnographic,—ethnographically
ethnographic	ethnography|||noun|||—ethnographer,—ethnographic,—ethnographically
ethnographically	ethnography|||noun|||—ethnographer,—ethnographic,—ethnographically
ethnological	ethnology|||noun|||—ethnologist,—ethnological,—ethnologically
ethnologically	ethnology|||noun|||—ethnologist,—ethnological,—ethnologically
ethnologist	ethnology|||noun|||—ethnologist,—ethnological,—ethnologically
etiolation	etiolated|||adjective|||—etiolation
etiological	etiology|||noun|||—etiological,—etiologically
etiologically	etiology|||noun|||—etiological,—etiologically
etymological	etymology|||noun|||—etymologist,—etymological,—etymologically
etymologically	etymology|||noun|||—etymologist,—etymological,—etymologically
etymologist	etymology|||noun|||—etymologist,—etymological,—etymologically
eulogist	eulogize|||verb|||—eulogist,—eulogistic
eulogistic	eulogize|||verb|||—eulogist,—eulogistic
euphemistically	euphemistic|||adjective|||—euphemistically
euphorically	euphoric|||adjective|||—euphorically
evacuation	evacuate|||verb|||—evacuation
evangelism	evangelist|||noun|||—evangelism,—evangelistic
evangelistic	evangelist|||noun|||—evangelism,—evangelistic
evaporation	evaporate|||verb|||—evaporation
evasively	evasive|||adjective|||—evasively,—evasiveness
evasiveness	evasive|||adjective|||—evasively,—evasiveness
evenness	even|||adjective|||—evenness
eviction	evict|||verb|||—eviction
evidentially	evidential|||adjective|||—evidentially
evilly	evil|||adjective|||—evilly
evocation	evoke|||verb|||—evocation
exacerbation	exacerbate|||verb|||—exacerbation
exactness	exact|||adjective|||—exactness
exaggeratedly	exaggerated|||adjective|||—exaggeratedly
exasperatedly	exasperated|||adjective|||—exasperatedly
exasperatingly	exasperating|||adjective|||—exasperatingly
excavation	excavate|||verb|||—excavation
excellently	excellent|||adjective|||—excellently
excessively	excessive|||adjective|||—excessively
exchangeable	exchange|||verb|||—exchangeable
excision	excise|||verb|||—excision
excitability	excitable|||adjective|||—excitability
excitedly	excited|||adjective|||—excitedly
excitingly	exciting|||adjective|||—excitingly
exclusionary	exclusion|||noun|||—exclusionary
exclusivity	exclusive|||adjective|||—exclusivity
excommunication	excommunicate|||verb|||—excommunication
excruciatingly	excruciating|||adjective|||—excruciatingly
exculpation	exculpate|||verb|||—exculpation
exemplification	exemplify|||verb|||—exemplification
exfoliation	exfoliate|||verb|||—exfoliation
exhalation	exhale|||verb|||—exhalation
exhaustively	exhaustive|||adjective|||—exhaustively
exhortation	exhort|||verb|||—exhortation
exhumation	exhume|||verb|||—exhumation
existentialist	existentialism|||noun|||—existentialist,—existentialist@@@existentialism|||noun|||—existentialist,—existentialist
ex officio	ex-officio|||adjective|||—ex officio
exoneration	exonerate|||verb|||—exoneration
exorbitantly	exorbitant|||adjective|||—exorbitantly
exotically	exotic|||adjective|||—exotically
expansionist	expansionism|||noun|||—expansionist,—expansionist@@@expansionism|||noun|||—expansionist,—expansionist
expansively	expansive|||adjective|||—expansively,—expansiveness
expansiveness	expansive|||adjective|||—expansively,—expansiveness
expectantly	expectant|||adjective|||—expectantly
expeditious	expeditiously|||adverb|||—expeditious
expensively	expensive|||adjective|||—expensively
experimenter	experiment|||verb|||—experimenter
expertly	expert|||adjective|||—expertly,—expertness
expertness	expert|||adjective|||—expertly,—expertness
expiation	expiate|||verb|||—expiation
explication	explicate|||verb|||—explication
explicitly	explicit|||adjective|||—explicitly,—explicitness
explicitness	explicit|||adjective|||—explicitly,—explicitness
exploitable	exploit|||verb|||—exploitable,—exploiter
exploiter	exploit|||verb|||—exploitable,—exploiter
explosively	explosive|||adjective|||—explosively,—explosiveness
explosiveness	explosive|||adjective|||—explosively,—explosiveness
exponentially	exponential|||adjective|||—exponentially
exportation	export|||verb|||—exportation
expostulation	expostulate|||verb|||—expostulation
expressionist	expressionism|||noun|||—expressionist,—expressionist@@@expressionism|||noun|||—expressionist,—expressionist
expressionlessly	expressionless|||adjective|||—expressionlessly
expressively	expressive|||adjective|||—expressively,—expressiveness
expressiveness	expressive|||adjective|||—expressively,—expressiveness
expropriation	expropriate|||verb|||—expropriation
expurgate	expurgated|||adjective|||—expurgate
exquisitely	exquisite|||adjective|||—exquisitely,—exquisiteness
exquisiteness	exquisite|||adjective|||—exquisitely,—exquisiteness
extemporaneously	extemporaneous|||adjective|||—extemporaneously
extemporization	extemporize|||verb|||—extemporization
extensively	extensive|||adjective|||—extensively
extenuation	extenuating|||adjective|||—extenuation
extermination	exterminate|||verb|||—exterminator,—extermination
exterminator	exterminate|||verb|||—exterminator,—extermination
externalization	externalize|||verb|||—externalization
externally	external|||adjective|||—externally
extortion	extort|||verb|||—extortion,—extortionist
extortionately	extortionate|||adjective|||—extortionately
extortionist	extort|||verb|||—extortion,—extortionist
extradition	extradite|||verb|||—extradition
extrapolation	extrapolate|||verb|||—extrapolation
extravagance	extravagant|||adjective|||—extravagantly,—extravagance
extravagantly	extravagant|||adjective|||—extravagantly,—extravagance
extroversion	extroverted|||adjective|||—extroversion
extrusion	extrude|||verb|||—extrusion
exuberance	exuberant|||adjective|||—exuberance,—exuberantly
exuberantly	exuberant|||adjective|||—exuberance,—exuberantly
exultantly	exultant|||adjective|||—exultantly
exultation	exult|||verb|||—exultation
Facebooking	Facebook|||verb|||—Facebooking
facesquatting	facesquatter|||noun|||—facesquatting
facetiously	facetious|||adjective|||—facetiously,—facetiousness
facetiousness	facetious|||adjective|||—facetiously,—facetiousness
facially	facial|||adjective|||—facially
facilely	facile|||adjective|||—facilely,—facileness
facileness	facile|||adjective|||—facilely,—facileness
facilitation	facilitate|||verb|||—facilitation
factional	faction|||noun|||—factional
factory farm	factory farming|||noun|||—factory farm
factually	factual|||adjective|||—factually
faddish	fad|||noun|||—faddish,—faddishness
faddishness	fad|||noun|||—faddish,—faddishness
fade-in	fade|||verb|||—ˈfade-in,—ˈfade-out
fade-out	fade|||verb|||—ˈfade-in,—ˈfade-out
faecal	faeces|||noun|||—faecal
faintly	faint|||adjective|||—faintly,—faintness
faintness	faint|||adjective|||—faintly,—faintness
faithfulness	faithful|||adjective|||—faithfulness
faith healer	faith healing|||noun|||—faith healer
faithlessness	faithless|||adjective|||—faithlessness
fallaciously	fallacious|||adjective|||—fallaciously
fallibility	fallible|||adjective|||—fallibility
falsification	falsify|||verb|||—falsification
falteringly	faltering|||adjective|||—falteringly
familiarization	familiarize|||verb|||—familiarization
fanatical	fanatic|||noun|||—fanatical,—fanatically
fanatically	fanatic|||noun|||—fanatical,—fanatically
fancifully	fanciful|||adjective|||—fancifully
fantastically	fantastic|||adjective|||—fantastically
farcically	farcical|||adjective|||—farcically
Far Eastern	Far East|||noun|||—Far Eastern
far-sightedness	far-sighted|||adjective|||—far-sightedness
fascinatingly	fascinating|||adjective|||—fascinatingly
fashionably	fashionable|||adjective|||—fashionably
fastidiously	fastidious|||adjective|||—fastidiously,—fastidiousness
fastidiousness	fastidious|||adjective|||—fastidiously,—fastidiousness
fatalist	fatalism|||noun|||—fatalist
fatalistically	fatalistic|||adjective|||—fatalistically
fatefully	fateful|||adjective|||—fatefully
fat-headed	fathead|||noun|||—ˌfat-ˈheaded
fatness	fat|||adjective|||—fatness
fatuously	fatuous|||adjective|||—fatuously,—fatuousness
fatuousness	fatuous|||adjective|||—fatuously,—fatuousness
faultlessly	faultless|||adjective|||—faultlessly
favourably	favourable|||adjective|||—favourably
fawning	fawn|||verb|||—fawning
fearfulness	fearful|||adjective|||—fearfulness
fearlessly	fearless|||adjective|||—fearlessly,—fearlessness
fearlessness	fearless|||adjective|||—fearlessly,—fearlessness
feasibility	feasible|||adjective|||—feasibly,—feasibility
feasibly	feasible|||adjective|||—feasibly,—feasibility
fecal	feces|||noun|||—fecal
fecklessly	feckless|||adjective|||—fecklessly,—fecklessness
fecklessness	feckless|||adjective|||—fecklessly,—fecklessness
fecundity	fecund|||adjective|||—fecundity
feeble-mindedness	feeble-minded|||adjective|||—feeble-mindedness
feelingly	feeling|||adjective|||—feelingly
femoral	femur|||noun|||—femoral
fermentation	ferment|||verb|||—fermentation
ferny	fern|||noun|||—ferny
ferociously	ferocious|||adjective|||—ferociously
fertilization	fertilize|||verb|||—fertilization
fervently	fervent|||adjective|||—fervently
fervidly	fervid|||adjective|||—fervidly
fetishism	fetishist|||noun|||—fetishism
feverishly	feverish|||adjective|||—feverishly
fibber	fib|||verb|||—fibber
fickleness	fickle|||adjective|||—fickleness
fiddling	fiddler|||noun|||—fiddling@@@fiddling|||adjective|||
field-test	field test|||noun|||—field-test
fieldworker	fieldwork|||noun|||—fieldworker
fiendishly	fiendish|||adjective|||—fiendishly,—fiendishness
fiendishness	fiendish|||adjective|||—fiendishly,—fiendishness
fierceness	fierce|||adjective|||—fierceness
fifteenth	fifteen|||number|||—fifteenth
fifth columnist	fifth column|||noun|||—fifth columnist
fifthly	fifth|||adjective|||—fifth,—fifthly
fiftieth	fifty|||number|||—fiftieth
figuratively	figurative|||adjective|||—figuratively
figure skater	figure skating|||noun|||—figure skater
Fijian	Fiji|||noun|||—Fijian
filming	film|||verb|||—filming
film-making	film-maker|||noun|||—film-making
filter-tipped	filter tip|||noun|||—filter-tipped
finagling	finagle|||verb|||—finagling
finalization	finalize|||verb|||—finalization
financially	financial|||adjective|||—financially
financing	finance|||verb|||—financing
fine tuning	fine-tune|||verb|||—fine tuning
finger painting	finger-paints|||noun|||—finger painting
firebombing	firebomb|||verb|||—firebombing
fire-eating	fire-eater|||noun|||—fire-eating
fire-raiser	fire-raising|||noun|||—fire-raiser
firmly	firm|||adjective|||—firmly,—firmness
firmness	firm|||adjective|||—firmly,—firmness
first-generation	first generation|||noun|||—first-generation
first world	First World|||noun|||—first world
fiscally	fiscal|||adjective|||—fiscally
fish farming	fish farm|||noun|||—fish farming
fist-pumping	fist pump|||noun|||—fist-pumping
fitfully	fitful|||adjective|||—fitfully
flabbiness	flabby|||adjective|||—flabbiness
flaccidity	flaccid|||adjective|||—flaccidity
flagellation	flagellate|||verb|||—flagellation
flagrantly	flagrant|||adjective|||—flagrantly
flakiness	flaky|||adjective|||—flakiness
flamboyance	flamboyant|||adjective|||—flamboyantly,—flamboyance
flamboyantly	flamboyant|||adjective|||—flamboyantly,—flamboyance
flared	flare|||verb|||—flared
flashmobbing	flashmob|||noun|||—flashmob,—flashmobbing
flatness	flat|||adjective|||—flatness
flatterer	flatter|||verb|||—flatterer
flatulent	flatulence|||noun|||—flatulent
flawlessly	flawless|||adjective|||—flawlessly
fleetingly	fleeting|||adjective|||—fleetingly
flexibly	flexible|||adjective|||—flexibly
flexitarianism	flexitarian|||noun|||—flexitarianism
flimsily	flimsy|||adjective|||—flimsily,—flimsiness
flimsiness	flimsy|||adjective|||—flimsily,—flimsiness
flippancy	flippant|||adjective|||—flippantly,—flippancy
flippantly	flippant|||adjective|||—flippantly,—flippancy
flirtatiously	flirtatious|||adjective|||—flirtatiously,—flirtatiousness
flirtatiousness	flirtatious|||adjective|||—flirtatiously,—flirtatiousness
Florentine	Florence|||noun|||—Florentine
fluency	fluent|||adjective|||—fluently,—fluency
fluently	fluent|||adjective|||—fluently,—fluency
fluidity	fluid|||adjective|||—fluidity
fluky, flukey	fluke|||noun|||—fluky, flukey
flummox	flummoxed|||adjective|||—flummox
fluorescence	fluorescent|||adjective|||—fluorescence
fluoridation	fluoridate|||verb|||—fluoridation
foamy	foam|||noun|||—foamy
folk dancer	folk dance|||noun|||—folk dancer
fomentation	foment|||verb|||—fomentation
fondness	fond|||adjective|||—fondness
foolhardiness	foolhardy|||adjective|||—foolhardiness
foolishly	foolish|||adjective|||—foolishly,—foolishness
foolishness	foolish|||adjective|||—foolishly,—foolishness
foppish	fop|||noun|||—foppish,—foppishness
foppishness	fop|||noun|||—foppish,—foppishness
forager	forage|||verb|||—forager
forbiddingly	forbidding|||adjective|||—forbiddingly
forcefully	forceful|||adjective|||—forcefully,—forcefulness
forcefulness	forceful|||adjective|||—forcefully,—forcefulness
foreclosure	foreclose|||verb|||—foreclosure
foreignness	foreign|||adjective|||—foreignness
foreshorten	foreshortened|||adjective|||—foreshorten
forewarning	forewarn|||verb|||—forewarning
forgetfully	forgetful|||adjective|||—forgetfully,—forgetfulness
forgetfulness	forgetful|||adjective|||—forgetfully,—forgetfulness
forlornly	forlorn|||adjective|||—forlornly
formalist	formalism|||noun|||—formalist,—formalistic
formalistic	formalism|||noun|||—formalist,—formalistic
formalization	formalize|||verb|||—formalization
formatted	format|||verb|||—formatting,—formatted
formatting	format|||verb|||—formatting,—formatted
formidably	formidable|||adjective|||—formidably
formlessly	formless|||adjective|||—formlessly,—formlessness
formlessness	formless|||adjective|||—formlessly,—formlessness
formulation	formulate|||verb|||—formulation
fornication	fornicate|||verb|||—fornication
fortieth	forty|||number|||—fortieth
fortuitously	fortuitous|||adjective|||—fortuitously
fortune telling	fortune-teller|||noun|||—fortune telling
fossilization	fossilize|||verb|||—fossilization
foully	foul|||adjective|||—foully,—foulness
foul mouth	foul-mouthed|||adjective|||—ˈfoul mouth
foulness	foul|||adjective|||—foully,—foulness
founding	found|||verb|||—founding
fourteenth	fourteen|||number|||—fourteenth
fourthly	fourth|||adjective|||—fourthly
foxhunt	foxhunting|||noun|||—foxhunt
fractionally	fractional|||adjective|||—fractionally
fractiousness	fractious|||adjective|||—fractiousness
fragility	fragile|||adjective|||—fragility
fragmentation	fragment|||verb|||—fragmented,—fragmentation
fragmented	fragment|||verb|||—fragmented,—fragmentation
fragrantly	fragrant|||adjective|||—fragrantly
frankness	frank|||adjective|||—frankness
frantically	frantic|||adjective|||—frantically
fraping	frape|||verb|||—fraping
fraternally	fraternal|||adjective|||—fraternally
fraternization	fraternize|||verb|||—fraternization
fraudulence	fraudulent|||adjective|||—fraudulently,—fraudulence
fraudulently	fraudulent|||adjective|||—fraudulently,—fraudulence
frayed	fray|||verb|||—frayed
freakishly	freakish|||adjective|||—freakishly,—freakishness
freakishness	freakish|||adjective|||—freakishly,—freakishness
freebasing	freebase|||verb|||—freebasing
freebirther	freebirth|||noun|||—freebirther
free-falling	free fall|||noun|||—free-falling
freeganism	freegan|||noun|||—freeganism
freeload	freeloader|||noun|||—freeload
freerunner	freerunning|||noun|||—freerunner
freethinking	freethinker|||noun|||—freethinking
French-Canadian	French Canadian|||adjective|||—French-Canadian
frenziedly	frenzied|||adjective|||—frenziedly
freshness	fresh|||adjective|||—freshness
fretfully	fretful|||adjective|||—fretfully,—fretfulness
fretfulness	fretful|||adjective|||—fretfully,—fretfulness
friendliness	friendly|||adjective|||—friendliness
frighteningly	frightening|||adjective|||—frighteningly
frigidity	frigid|||adjective|||—frigidly,—frigidity
frigidly	frigid|||adjective|||—frigidly,—frigidity
friskily	frisky|||adjective|||—friskily,—friskiness
friskiness	frisky|||adjective|||—friskily,—friskiness
frivolously	frivolous|||adjective|||—frivolously
front-line	front line|||noun|||—ˈfront-line
front-of-house	front of house|||noun|||—front-of-house
frostbitten	frostbite|||noun|||—frostbitten
frostily	frosty|||adjective|||—frostily
frothily	frothy|||adjective|||—frothily
frugality	frugal|||adjective|||—frugally,—frugality
frugally	frugal|||adjective|||—frugally,—frugality
fruitfully	fruitful|||adjective|||—fruitfully,—fruitfulness
fruitfulness	fruitful|||adjective|||—fruitfully,—fruitfulness
fruitlessly	fruitless|||adjective|||—fruitlessly
fruitloopery	fruitloop|||noun|||—fruitloopery
fuddled	fuddle|||verb|||—fuddled
Fulbright Scholar	Fulbright Scholarship|||noun|||—Fulbright Scholar
-fully	-ful|||suffix|||—-fully
fulmination	fulminate|||verb|||—fulmination
fulsomely	fulsome|||adjective|||—fulsomely,—fulsomeness
fulsomeness	fulsome|||adjective|||—fulsomely,—fulsomeness
fumbling	fumble|||verb|||—fumble,—fumbling
fumigation	fumigate|||verb|||—fumigation
functionalist	functionalism|||noun|||—functionalist,—functionalist@@@functionalism|||noun|||—functionalist,—functionalist
functionally	functional|||adjective|||—functionally
fundamentalism	fundamentalist|||noun|||—fundamentalism,—fundamentalist
furiously	furious|||adjective|||—furiously
furl	furled|||adjective|||—furl
furnished	furnish|||verb|||—furnished
furred	fur|||verb|||—furred
furrowed	furrow|||verb|||—furrowed
furtively	furtive|||adjective|||—furtively,—furtiveness
furtiveness	furtive|||adjective|||—furtively,—furtiveness
fussily	fussy|||adjective|||—fussily,—fussiness
fussiness	fussy|||adjective|||—fussily,—fussiness
fustiness	fusty|||adjective|||—fustiness
futility	futile|||adjective|||—futility
futurist	futurism|||noun|||—futurist
futurologist	futurology|||noun|||—futurologist
fuzzily	fuzzy|||adjective|||—fuzzily,—fuzziness
fuzziness	fuzzy|||adjective|||—fuzzily,—fuzziness
gabby	gab|||verb|||—gabby
Gabonese	Gabon|||noun|||—Gabonese
gainfully	gainful|||adjective|||—gainfully
gale-force	gale force|||adjective|||—gale-force
Galilean	Galilee|||noun|||—Galilean
gambler	gamble|||verb|||—gambler
game-changing	gamechanger|||noun|||—game-changing
gamely	game|||adjective|||—gamely
gamma radiation	gamma ray|||noun|||—ˌgamma radiˈation
gangrenous	gangrene|||noun|||—gangrenous
gangsta rapper	gangsta rap|||noun|||—gangsta rapper
garble	garbled|||adjective|||—garble,—garble@@@garbled|||adjective|||—garble,—garble
garishly	garish|||adjective|||—garishly,—garishness
garishness	garish|||adjective|||—garishly,—garishness
garlicky	garlic|||noun|||—garlicky
garrulously	garrulous|||adjective|||—garrulously,—garrulousness
garrulousness	garrulous|||adjective|||—garrulously,—garrulousness
gas-guzzling	gas-guzzler|||noun|||—gas-guzzling
gastronomically	gastronomic|||adjective|||—gastronomically
gatecrasher	gatecrash|||verb|||—gatecrasher
gaucheness	gauche|||adjective|||—gaucheness
gaudily	gaudy|||adjective|||—gaudily,—gaudiness
gaudiness	gaudy|||adjective|||—gaudily,—gaudiness
Gaulist	Gaullist|||noun|||—Gaulist
gauntness	gaunt|||adjective|||—gauntness
gauzy	gauze|||noun|||—gauzy
gawkiness	gawky|||adjective|||—gawkiness
gayness	gay|||adjective|||—gayness
gazumping	gazump|||verb|||—gazumping
geeky	geek|||noun|||—geeky
genealogical	genealogy|||noun|||—genealogist,—genealogical
genealogist	genealogy|||noun|||—genealogist,—genealogical
generically	generic|||adjective|||—generically
generously	generous|||adjective|||—generously
genetically	genetic|||adjective|||—genetically
genetic engineer	genetic engineering|||noun|||—genetic engineer
geneticist	genetics|||noun|||—geneticist
geniality	genial|||adjective|||—genially,—geniality
genially	genial|||adjective|||—genially,—geniality
genocidal	genocide|||noun|||—genocidal
genteelly	genteel|||adjective|||—genteelly
gentleness	gentle|||adjective|||—gentleness
gentrify	gentrification|||noun|||—gentrify
genuflection	genuflect|||verb|||—genuflection
genuineness	genuine|||adjective|||—genuineness
geographically	geographical|||adjective|||—geographically
geological	geology|||noun|||—geologist,—geological,—geologically
geologically	geology|||noun|||—geologist,—geological,—geologically
geologist	geology|||noun|||—geologist,—geological,—geologically
geometrically	geometric|||adjective|||—geometrically
geophysical	geophysics|||noun|||—geophysical,—geophysicist
geophysicist	geophysics|||noun|||—geophysical,—geophysicist
geopolitical	geopolitics|||noun|||—geopolitical
Georgian	Georgia|||noun|||—Georgian@@@Georgian|||adjective|||
geriatrician	geriatrics|||noun|||—geriatrician
germination	germinate|||verb|||—germination
gerontological	gerontology|||noun|||—gerontologist,—gerontological
gerontologist	gerontology|||noun|||—gerontologist,—gerontological
gerrymander	gerrymandering|||noun|||—gerrymander
gesticulation	gesticulate|||verb|||—gesticulation
gestural	gesture|||noun|||—gestural
Ghanaian	Ghana|||noun|||—Ghanaian
ghastliness	ghastly|||adjective|||—ghastliness
ghost-write	ghost writer|||noun|||—ghost-write
ghoulish	ghoul|||noun|||—ghoulish
gibbering	gibber|||verb|||—gibbering
Gibraltarian	Gibraltar|||noun|||—Gibraltarian
giddily	giddy|||adjective|||—giddily,—giddiness
giddiness	giddy|||adjective|||—giddily,—giddiness
gigantically	gigantic|||adjective|||—gigantically
gimmickry	gimmick|||noun|||—gimmicky,—gimmickry
gimmicky	gimmick|||noun|||—gimmicky,—gimmickry
ginormously	ginormous|||adjective|||—ginormously
girlishly	girlish|||adjective|||—girlishly
glacially	glacial|||adjective|||—glacially
gladiatorial	gladiator|||noun|||—gladiatorial
gladness	glad|||adjective|||—gladness
glamorization	glamorize|||verb|||—glamorization
glamper	glamping|||noun|||—glamper
glancingly	glancing|||adjective|||—glancingly
gleaming	gleam|||verb|||—gleaming
gleefully	gleeful|||adjective|||—gleefully
glibly	glib|||adjective|||—glibly,—glibness
glibness	glib|||adjective|||—glibly,—glibness
glittery	glitter|||noun|||—glittery
globally	global|||adjective|||—globally
globe-trotting	globetrotter|||noun|||—globe-trotting,—globe-trotting@@@globetrotter|||noun|||—globe-trotting,—globe-trotting
glocalization	glocal|||adjective|||—glocalization
gloomily	gloomy|||adjective|||—gloomily
gloppy	glop|||noun|||—gloppy
glorification	glorify|||verb|||—glorification
gloriously	glorious|||adjective|||—gloriously
glossiness	glossy|||adjective|||—glossiness
glottal	glottis|||noun|||—glottal
glowingly	glowing|||adjective|||—glowingly
glue sniffer	glue-sniffing|||noun|||—glue sniffer
glumly	glum|||adjective|||—glumly,—glumness
glumness	glum|||adjective|||—glumly,—glumness
gluttonous	glutton|||noun|||—gluttonous
godlessness	godless|||adjective|||—godlessness
godliness	godly|||adjective|||—godliness
go-getting	go-getter|||noun|||—go-getting
go-go dancing	go-go dancer|||noun|||—go-go dancing
go-karting	go-kart|||noun|||—go-karting
gold medallist	gold medal|||noun|||—gold medallist
gold plate	gold-plated|||adjective|||—gold plate
golfer	golf|||noun|||—golfer,—golfing
golfing	golf|||noun|||—golfer,—golfing
gonzo journalist	gonzo journalism|||noun|||—gonzo journalist
good-humoured	good humour|||noun|||—good-humoured,—good-humouredly
good-humouredly	good humour|||noun|||—good-humoured,—good-humouredly
good-looker	good-looking|||adjective|||—good-looker
good-naturedly	good-natured|||adjective|||—good-naturedly
googlewhacking	googlewhack|||noun|||—googlewhacking,—googlewhack
gorgeously	gorgeous|||adjective|||—gorgeously
gormlessly	gormless|||adjective|||—gormlessly
gossip columnist	gossip column|||noun|||—gossip columnist
gracefully	graceful|||adjective|||—gracefully,—gracefulness
gracefulness	graceful|||adjective|||—gracefully,—gracefulness
gracelessly	graceless|||adjective|||—gracelessly
graciously	gracious|||adjective|||—graciously,—graciousness
graciousness	gracious|||adjective|||—graciously,—graciousness
gradability	gradable|||adjective|||—gradability
grammatically	grammatical|||adjective|||—grammatically
grandiloquence	grandiloquent|||adjective|||—grandiloquence
grand juror	grand jury|||noun|||—grand juror
grandly	grand|||adjective|||—grandly
graphic designer	graphic design|||noun|||—graphic designer
graphologist	graphology|||noun|||—graphologist
gratefully	grateful|||adjective|||—gratefully
gratification	gratify|||verb|||—gratification
gratifyingly	gratifying|||adjective|||—gratifyingly
gratingly	grating|||adjective|||—gratingly
gratuitously	gratuitous|||adjective|||—gratuitously
gravely	grave|||adjective|||—gravely
greasily	greasy|||adjective|||—greasily,—greasiness
greasiness	greasy|||adjective|||—greasily,—greasiness
greatness	great|||adjective|||—greatness
greedily	greedy|||adjective|||—greedily,—greediness
greediness	greedy|||adjective|||—greedily,—greediness
greenness	green|||adjective|||—greenness
gregariously	gregarious|||adjective|||—gregariously,—gregariousness
gregariousness	gregarious|||adjective|||—gregariously,—gregariousness
Grenadian	Grenada|||noun|||—Grenadian
greyness	grey|||adjective|||—greyness
gridlocked	gridlock|||noun|||—gridlocked
griefer	griefing|||noun|||—griefer
grievously	grievous|||adjective|||—grievously
grift	grifter|||noun|||—grift
grimly	grim|||adjective|||—grimly,—grimness
grimness	grim|||adjective|||—grimly,—grimness
gristly	gristle|||noun|||—gristly
grossed out	gross|||verb|||—grossed out
grossly	gross|||adjective|||—grossly,—grossness
grossness	gross|||adjective|||—grossly,—grossness
grotesquely	grotesque|||adjective|||—grotesquely
grouchiness	grouchy|||adjective|||—grouchiness
grovelling	grovel|||verb|||—grovelling
grubbiness	grubby|||adjective|||—grubbiness
grudging	grudge|||verb|||—grudging,—grudgingly
grudgingly	grudge|||verb|||—grudging,—grudgingly
gruesomely	gruesome|||adjective|||—gruesomely
gruffly	gruff|||adjective|||—gruffly,—gruffness
gruffness	gruff|||adjective|||—gruffly,—gruffness
grumpily	grumpy|||adjective|||—grumpily,—grumpiness
grumpiness	grumpy|||adjective|||—grumpily,—grumpiness
grungy	grunge|||noun|||—grungy
guardedly	guarded|||adjective|||—guardedly
Guatemalan	Guatemala|||noun|||—Guatemalan
guerrilla gardener	guerrilla gardening|||noun|||—guerrilla gardener
guileful	guile|||noun|||—guileful
guiltily	guilty|||adjective|||—guiltily
Guinean	Guinea|||noun|||—Guinean
gullibility	gullible|||adjective|||—gullibility
gunfighter	gunfight|||noun|||—gunfighter
gungy	gunge|||noun|||—gungy
gunky	gunk|||noun|||—gunky
gun-runner	gun-running|||noun|||—gun-runner
gushingly	gushing|||adjective|||—gushingly
Guyanese	Guyana|||noun|||—Guyanese
gymnastic	gymnastics|||noun|||—gymnastic
gynaecological	gynaecology|||noun|||—gynaecologist,—gynaecological
gynaecologist	gynaecology|||noun|||—gynaecologist,—gynaecological
gyration	gyrate|||verb|||—gyration
gyroscopic	gyroscope|||noun|||—gyroscopic
habitually	habitual|||adjective|||—habitually
hacking	hacker|||noun|||—hacking
hacktivism	hacktivist|||noun|||—hacktivism
haggling	haggle|||verb|||—haggling
hairdressing	hairdresser|||noun|||—hairdressing
hairiness	hairy|||adjective|||—hairiness
Haitian	Haiti|||noun|||—Haitian
half-heartedly	half-hearted|||adjective|||—half-heartedly
half-price	half price|||noun|||—half-price,—half price
half-witted	half-wit|||noun|||—ˌhalf-ˈwitted
haltingly	halting|||adjective|||—haltingly
handshaking	handshake|||noun|||—handshaking
handsomely	handsome|||adjective|||—handsomely
haphazardly	haphazard|||adjective|||—haphazardly
happy clappy	happy-clappy|||adjective|||—happy clappy
hardiness	hardy|||adjective|||—hardiness
hardness	hard|||adjective|||—hardness
harmlessly	harmless|||adjective|||—harmlessly,—harmlessness
harmlessness	harmless|||adjective|||—harmlessly,—harmlessness
harmoniously	harmonious|||adjective|||—harmoniously
harpist	harp|||noun|||—harpist
harpsichordist	harpsichord|||noun|||—harpsichordist
harshly	harsh|||adjective|||—harshly,—harshness
harshness	harsh|||adjective|||—harshly,—harshness
hated	hate|||verb|||—hated
haughtily	haughty|||adjective|||—haughtily,—haughtiness
haughtiness	haughty|||adjective|||—haughtily,—haughtiness
hauntingly	haunting|||adjective|||—hauntingly
haute couturier	haute couture|||noun|||—haute couturier
