aback	aback	 adverb	surprised
amalgamate	amalgamate	 verb	to make people, organizations, or countries unite
amalgamate	amalgamate	 verb	to join together with other people, organizations, or countries
amalgamation	amalgamate	 verb	to make people, organizations, or countries unite
amalgamation	amalgamate	 verb	to join together with other people, organizations, or countries
amass	amass	 verb	to get more of something over a long period of time
amateur	amateur	 noun	the activity or study of acting
amateur	amateur	 noun	when you are paid or not paid for doing an activity or sport
amateurism	amateur	 noun	the activity or study of acting
amateurism	amateur	 noun	when you are paid or not paid for doing an activity or sport
amaze	amaze	 verb	to make someone surprised
amazed	amazed	 adjective	surprised
amazement	amazement	 noun	a feeling of being surprised
amazing	amazing	 adjective	something you like or enjoy very much
amazing	amazing	 adjective	making you feel surprised
amazingly	amazing	 adjective	something you like or enjoy very much
amazingly	amazing	 adjective	making you feel surprised
ambassador	ambassador	 noun	someone who officially represents their government
ambassadorial	ambassador	 noun	someone who officially represents their government
ambience	ambience	 noun	a general feeling among a group of people
ambiguous	ambiguous	 adjective	when it is not clear which meaning is intended
ambiguous	ambiguous	 adjective	not clear
ambiguously	ambiguous	 adjective	when it is not clear which meaning is intended
ambiguously	ambiguous	 adjective	not clear
ambition	ambition	 noun	determined to be successful in your life or job
ambition	ambition	 noun	the ability to be determined
ambition	ambition	 noun	something that you want to achieve in your life
ambitious	ambitious	 adjective	determined to be successful in your life or job
ambitiously	ambitious	 adjective	determined to be successful in your life or job
ambitiousness	ambitious	 adjective	determined to be successful in your life or job
amble	amble	 verb	to walk slowly in a relaxed way
ambush	ambush	 noun	to attack someone suddenly and unexpectedly
ambush	ambush	 noun	a military attack
amend	amend	 verb	to make small changes to something in order to improve it
amended	amend	 verb	to make small changes to something in order to improve it
amendment	amendment	 noun	a small change that is made to improve or correct something
amenity	amenity	 noun	things that are provided for people to use
American	American	 adjective	to come from a particular country, town etc
amiability	amiable	 adjective	behaving in a friendly way
amiable	amiable	 adjective	behaving in a friendly way
amiably	amiable	 adjective	behaving in a friendly way
amicable	amicable	 adjective	friendly relationships/conversations
amicably	amicable	 adjective	friendly relationships/conversations
ammunition	ammunition	 noun	a weapon
amnesia	amnesia	 noun	a medical condition that makes you forget things
amnesiac	amnesia	 noun	a medical condition that makes you forget things
amnesty	amnesty	 noun	to not punish someone
among	among	 preposition	between two or more people or things
among	among	 preposition	to include someone or something
amorphous	amorphous	 adjective	having no clear or exact shape
amount	amount	 noun	an amount of something such as money, time, or a substance
amount	amount	 noun	a number of people or things
amount	amount	 noun	an amount that is compared with another amount
amount	amount	 noun	a measured amount of goods
amount	amount	 noun	an amount that is carried in something 
amount	amount	 noun	the amount of something bad such as crime, poverty etc
amount	amount	 noun	a small amount of something such as a feeling etc
amount	amount	 noun	a small amount of a substance
amount	amount	 noun	a large amount of something
amount	amount	 noun	an amount of money
amount	amount	 noun	some, but not a large amount
amount	amount	 verb	an amount of something such as money, time, or a substance
amount	amount	 verb	a number of people or things
amount	amount	 verb	an amount that is compared with another amount
amount	amount	 verb	a measured amount of goods
amount	amount	 verb	an amount that is carried in something 
amount	amount	 verb	the amount of something bad such as crime, poverty etc
amount	amount	 verb	to be the most basic meaning of a statement
amount	amount	 verb	when several numbers produce another number as a total
amphibious	amphibious	 adjective	living in water
ample	ample	 adjective	enough and more
ample	ample	 adjective	more than enough of something that people need or want
amply	ample	 adjective	enough and more
amply	ample	 adjective	more than enough of something that people need or want
amputate	amputate	 verb	to remove something by cutting
amputation	amputate	 verb	to remove something by cutting
amuse	amuse	 verb	to make someone laugh
amused	amused	 adjective	how you feel when you think something is funny
amusement	amusement	 noun	how you feel when you think something is funny
amusing	amusing	 adjective	when something or someone makes you laugh
amusingly	amusing	 adjective	when something or someone makes you laugh
anachronism	anachronism	 noun	extremely old-fashioned
anachronistic	anachronism	 noun	extremely old-fashioned
anaesthetize	anaesthetize	 verb	to make someone unconscious by giving them a drug
analogy	analogy	 noun	to compare things
analyse	analyse	 verb	to study something in order to discover new facts
analysis	analysis	 noun	what you say to explain the most basic facts, reasons etc
analysis	analysis	 noun	when something is examined
analyst	analyst	 noun	a doctor who treats mental illnesses
analyze	analyze	 verb	to examine something
ancestor	ancestor	 noun	people who were in the same family as you a long time ago
ancestral	ancestor	 noun	people who were in the same family as you a long time ago
ancestry	ancestry	 noun	to come from a particular country, town etc
anchor	anchor	 noun	someone who presents a television or radio programme
ancient	ancient	 adjective	not new
ancient	ancient	 adjective	not young
and	and	 conjunction	and/also
and	and	 conjunction	ways of adding something to what you have just said
and	and	 conjunction	ways of saying 'and others' at the end of a list
and	and	 conjunction	what you say when you refuse to do something
anecdote	anecdote	 noun	a story
anger	anger	 noun	angry feelings
anger	anger	 verb	to make someone angry
angle	angle	 noun	an opinion that is influenced by the situation you are in
angle	angle	 verb	to try to get a job, position, prize etc
angrily	angry	 adjective	feeling angry
angrily	angry	 adjective	feeling extremely angry
angrily	angry	 adjective	angry for a short time
angrily	angry	 adjective	angry because something is unfair or wrong
angrily	angry	 adjective	words for describing an angry meeting, argument etc
angrily	angry	 adjective	to get angry
angrily	angry	 adjective	to make someone angry
angrily	angry	 adjective	to deliberately make someone angry
angrily	angry	 adjective	making you angry
angrily	angry	 adjective	to behave in a very angry way
angrily	angry	 adjective	often behaving in an angry, unfriendly way
angrily	angry	 adjective	unfriendly and quiet because you are angry
angrily	angry	 adjective	easily annoyed
angrily	angry	 adjective	angry feelings
angrily	angry	 adjective	to try to make someone less angry
angry	angry	 adjective	feeling angry
angry	angry	 adjective	feeling extremely angry
angry	angry	 adjective	angry for a short time
angry	angry	 adjective	angry because something is unfair or wrong
angry	angry	 adjective	words for describing an angry meeting, argument etc
angry	angry	 adjective	to get angry
angry	angry	 adjective	to make someone angry
angry	angry	 adjective	to deliberately make someone angry
angry	angry	 adjective	making you angry
angry	angry	 adjective	to behave in a very angry way
angry	angry	 adjective	often behaving in an angry, unfriendly way
angry	angry	 adjective	unfriendly and quiet because you are angry
angry	angry	 adjective	easily annoyed
angry	angry	 adjective	angry feelings
angry	angry	 adjective	to try to make someone less angry
angst	angst	 noun	the feeling of being worried
animate	animate	 adjective	not dead
animated	animated	 adjective	happy and energetic
animated	animated	 adjective	energetic activities, behaviour etc
animated	animated	 adjective	a face that shows a lot of feeling
animated	animated	 adjective	types of film
animatedly	animated	 adjective	happy and energetic
animatedly	animated	 adjective	energetic activities, behaviour etc
animatedly	animated	 adjective	a face that shows a lot of feeling
animatedly	animated	 adjective	types of film
animosity	animosity	 noun	a feeling of hating someone or something
annihilate	annihilate	 verb	to defeat an enemy in war
annihilate	annihilate	 verb	to beat someone very easily in a game, competition, election etc
annihilation	annihilate	 verb	to defeat an enemy in war
annihilation	annihilate	 verb	to beat someone very easily in a game, competition, election etc
announce	announce	 verb	to say something publicly or officially
announce	announce	 verb	to publicly tell a lot of people about something
announcement	announcement	 noun	something someone says
announcer	announcer	 noun	someone who presents a television or radio programme
annoy	annoy	 verb	to make someone angry
annoyance	annoyance	 noun	angry feelings
annoyed	annoyed	 adjective	feeling angry
annoying	annoying	 adjective	making you angry
annoyingly	annoying	 adjective	making you angry
anonymous	anonymous	 adjective	someone whose name is not known
anonymously	anonymous	 adjective	someone whose name is not known
another	another	 determiner	one more of the same kind
another	another	 determiner	ways of adding something to what you have just said
another	another	 determiner	more of the same thing, or another one of the same things
another	another	 determiner	instead of the one that you had before
answer	answer	 noun	to answer when someone asks you a question or speaks to you
answer	answer	 noun	to answer a letter, invitation, e-mail etc
answer	answer	 noun	to answer the telephone/the door
answer	answer	 noun	to answer a teacher, parent etc in a rude way
answer	answer	 noun	something you say as an answer
answer	answer	 noun	something you write as an answer
answer	answer	 noun	to not answer someone
answer	answer	 noun	the answer to a question in a test, competition etc
answer	answer	 noun	to give an answer to a question in a test, competition etc
answer	answer	 noun	to find or calculate the answer to a question
answer	answer	 noun	to say firmly that someone must do something or that something must happen
answer	answer	 noun	a solution to a problem
answer	answer	 verb	to answer when someone asks you a question or speaks to you
answer	answer	 verb	to answer a letter, invitation, e-mail etc
answer	answer	 verb	to answer the telephone/the door
answer	answer	 verb	to answer a teacher, parent etc in a rude way
answer	answer	 verb	something you say as an answer
answer	answer	 verb	something you write as an answer
answer	answer	 verb	to not answer someone
answer	answer	 verb	the answer to a question in a test, competition etc
answer	answer	 verb	to give an answer to a question in a test, competition etc
answer	answer	 verb	to find or calculate the answer to a question
answer	answer	 verb	to say no to a question, request or suggestion
answer	answer	 verb	when someone asks you a question
antagonism	antagonism	 noun	words or behaviour that show that you oppose something
antagonistic	antagonistic	 adjective	to think something is wrong
antagonistic	antagonistic	 adjective	not friendly
antagonistically	antagonistic	 adjective	to think something is wrong
antagonistically	antagonistic	 adjective	not friendly
antagonize	antagonize	 verb	to deliberately make someone angry
anti-	anti-	 prefix	to think something is wrong
anticipate	anticipate	 verb	to expect something
anticipation	anticipation	 noun	to do something because you expect something to happen
anticipatory	anticipate	 verb	to expect something
anticlimax	anticlimax	 noun	making you feel disappointed
antics	antics	 noun	the way someone behaves
antidote	antidote	 noun	something that cures someone
antiquated	antiquated	 adjective	machines/equipment
antique	antique	 adjective	old and valuable
antique	antique	 noun	old and valuable
antithesis	antithesis	 noun	when two things or people are completely different
anxiety	anxiety	 noun	the feeling of being worried
anxious	anxious	 adjective	to want something very much
anxious	anxious	 adjective	feeling worried
anxious	anxious	 adjective	making you feel worried
anxiously	anxious	 adjective	to want something very much
anxiously	anxious	 adjective	feeling worried
anxiously	anxious	 adjective	making you feel worried
any	any	 determiner	any of a group of things
any	any	 determiner	any one of the people in a group or in the world
any	any	 determiner	very soon
any	any	 determiner	something you talk about, write about etc
anyone	anyone	 pronoun	any one of the people in a group or in the world
anyone	anyone	 pronoun	to be very easy to do
anyone	anyone	 pronoun	more than usual or more than others
anyone	anyone	 pronoun	when you think that something will happen or is true because of the way something seems
anyone	anyone	 pronoun	to deliberately not tell someone a secret
anything	anything	 pronoun	any of a group of things
anything	anything	 pronoun	any one of the people in a group or in the world
anything	anything	 pronoun	to not do something that you should do
anything	anything	 pronoun	when there is not any of something
anything	anything	 pronoun	to refuse very firmly to accept or become involved in something
anything	anything	 pronoun	to want something very much
anywhere	anywhere	 adverb	in or to any place
anywhere	anywhere	 adverb	far away from other places
anywhere	anywhere	 adverb	not in any place
apart	apart	 adverb	to break into a lot of pieces
apart	apart	 adverb	furniture, cars, or machines that are in bad condition
apart	apart	 adverb	to be the thing that makes someone or something different
apart	apart	 adverb	very different from something or someone else
apart	apart	 adverb	to notice that two things or people are different
apart	apart	 adverb	the distance between one place or point and another
apart	apart	 adverb	exactly like someone or something
apart	apart	 adverb	not together
apart	apart	 adverb	when two or more people stop having a relationship, friendship etc
apart	apart	 adverb	to separate things or people so that they are no longer close or touching
apart	apart	 adverb	to separate people from each other, the rest of society etc
apart	apart	 adverb	to separate something into two or more parts
apart from	apart from	 preposition	not including someone or something
apartheid	apartheid	 noun	to separate people from each other, the rest of society etc
apartment	apartment	 noun	different types of apartment
apartment	apartment	 noun	when you live in the same house as someone else
apathetic	apathetic	 adjective	not caring about something
apathetic	apathetic	 adjective	not interested
apathetically	apathetic	 adjective	not caring about something
apathetically	apathetic	 adjective	not interested
ape	ape	 verb	to do the same as someone else does
aperture	aperture	 noun	a hole that goes through something
apologetic	apologetic	 adjective	to tell someone that you are sorry you did something
apologetically	apologetic	 adjective	to tell someone that you are sorry you did something
apologize	apologize	 verb	to tell someone that you are sorry you did something
apologize	apologize	 verb	what you say to tell someone that you are sorry
apology	apology	 noun	to tell someone that you are sorry you did something
apology	apology	 noun	what you say to tell someone that you are sorry
appalled	appalled	 adjective	surprised and upset because something bad has happened
appalling	appalling	 adjective	bad events/experiences/weather etc
appalling	appalling	 adjective	bad films/books/methods/food etc
appallingly	appalling	 adjective	bad events/experiences/weather etc
appallingly	appalling	 adjective	bad films/books/methods/food etc
apparatus	apparatus	 noun	things you use for doing something
apparent	apparent	 adjective	very easy to notice or understand
apparent	apparent	 adjective	ways of saying what seems to be happening,
apparently	apparently	 adverb	what people say about something
apparition	apparition	 noun	a ghost
appeal	appeal	 noun	a statement, letter, message etc in which you ask for something
appeal	appeal	 noun	something that attracts people
appeal	appeal	 verb	to ask for help or kindness
appeal	appeal	 verb	to like something
appealing	appealing	 adjective	making you like someone or something, or to want to do something
appealing	appealing	 adjective	something you like or enjoy
appealingly	appealing	 adjective	making you like someone or something, or to want to do something
appealingly	appealing	 adjective	something you like or enjoy
appear	appear	 verb	to start to be seen
appear	appear	 verb	when a play, film etc has a particular actor in it
appear	appear	 verb	to arrive unexpectedly
appear	appear	 verb	to take part in a show, concert, play etc
appear	appear	 verb	when something can be seen
appear	appear	 verb	to seem
appear	appear	 verb	to take part in an event, activity, discussion etc
appearance	appearance	 noun	to go to a meeting, party, concert etc
appearance	appearance	 noun	the way someone or something looks
appearance	appearance	 noun	the way something seems
appetite	appetite	 noun	the feeling you have when you are hungry
appetite	appetite	 noun	to become hungry
appetite	appetite	 noun	not hungry
appetite	appetite	 noun	a feeling that you want to do or have something
appetizing	appetizing	 adjective	looking or smelling delicious
applaud	applaud	 verb	to clap
applause	applause	 noun	to clap
appliance	appliance	 noun	a machine
applicant	applicant	 noun	to ask for something officially
application	application	 noun	a statement, letter, message etc in which you ask for something
application	application	 noun	software
application	application	 noun	what something can be used for
apply	apply	 verb	to ask for something officially
apply	apply	 verb	to put paint, glue, make-up etc onto a surface
apply	apply	 verb	to use particular methods, knowledge, skills etc
appoint	appoint	 verb	to choose someone for a job or team
appoint	appoint	 verb	to give someone a job
appointee	appoint	 verb	to choose someone for a job or team
appointee	appoint	 verb	to give someone a job
apportion	apportion	 verb	to blame someone for something
apportionment	apportion	 verb	to blame someone for something
appreciate	appreciate	 verb	to know a fact or piece of information
appreciate	appreciate	 verb	when you feel that you want to thank someone
appreciate	appreciate	 verb	what you say when you thank someone
appreciate	appreciate	 verb	to understand how someone feels
appreciate	appreciate	 verb	to become more valuable
appreciation	appreciation	 noun	when you feel that you want to thank someone
appreciation	appreciation	 noun	to say thank you to someone
appreciative	appreciative	 adjective	when you feel that you want to thank someone
appreciatively	appreciative	 adjective	when you feel that you want to thank someone
apprehensive	apprehensive	 adjective	feeling worried
apprehensively	apprehensive	 adjective	feeling worried
apprentice	apprentice	 noun	someone who is learning something
approach	approach	 noun	a statement, letter, message etc in which you ask for something
approach	approach	 noun	a particular way of dealing with something
approach	approach	 noun	a way or method of doing something
approach	approach	 verb	almost a number, time, or amount
approach	approach	 verb	to ask for something officially
approach	approach	 verb	to write to, talk to, telephone etc someone
approach	approach	 verb	to deal with a difficult situation in a particular way
approach	approach	 verb	to get nearer to someone or something
approach	approach	 verb	to go or come towards someone or something
approach	approach	 verb	to go towards someone because you want to speak to them
approachable	approachable	 adjective	behaving in a friendly way
appropriate	appropriate	 adjective	suitable for a particular situation, job, purpose etc
appropriate	appropriate	 adjective	not suitable for a particular purpose, person, or situation
appropriateness	appropriate	 adjective	suitable for a particular situation, job, purpose etc
appropriateness	appropriate	 adjective	not suitable for a particular purpose, person, or situation
approval	approval	 noun	when someone approves of something or someone
approve	approve	 verb	to approve of something or someone
approve	approve	 verb	to strongly approve of something
approve	approve	 verb	to say that you approve of something or someone
approve	approve	 verb	when someone approves of something or someone
approve	approve	 verb	to officially accept a new law or proposal
approve	approve	 verb	to think that someone or something is bad or morally wrong
approximate	approximate	 adjective	a number or amount that is approximately right
approximate	approximate	 adjective	at approximately a particular time or date
approximate	approximate	 adjective	approximately a number or amount
approximate	approximate	 adjective	not exact
approximation	approximation	 noun	a number or amount that is approximately right
apt	apt	 adjective	ways of saying what someone or something often does
aptitude	aptitude	 noun	the ability to do something
aptitude	aptitude	 noun	having a natural ability to do something well
aptness	apt	 adjective	ways of saying what someone or something often does
aquaplane	aquaplane	 verb	to move smoothly across a surface
aquatic	aquatic	 adjective	living in water
arbitrarily	arbitrary	 adjective	when things are done, chosen etc by chance
arbitrariness	arbitrary	 adjective	when things are done, chosen etc by chance
arbitrary	arbitrary	 adjective	when things are done, chosen etc by chance
arbitrate	arbitrate	 verb	to decide who is right in a quarrel
arbitration	arbitration	 noun	to decide who is right in a quarrel
arbitrator	arbitrate	 verb	to decide who is right in a quarrel
archaic	archaic	 adjective	extremely old-fashioned
archetypal	archetype	 noun	a typical person or thing
archetype	archetype	 noun	a typical person or thing
architect	architect	 noun	the design of buildings
architect	architect	 noun	someone whose job is designing things
architect	architect	 noun	someone who plans something
architectural	architecture	 noun	the design of buildings
architecturally	architecture	 noun	the design of buildings
architecture	architecture	 noun	the design of buildings
ardent	ardent	 adjective	a strong feeling/belief
ardently	ardent	 adjective	a strong feeling/belief
arduous	arduous	 adjective	needing a lot of energy or physical effort
arduously	arduous	 adjective	needing a lot of energy or physical effort
area	area	 noun	an area of the world or a country
area	area	 noun	an area in or around a town or city
area	area	 noun	the area around a building or place
area	area	 noun	an area used for a particular purpose
area	area	 noun	a large area of land
area	area	 noun	an empty area
area	area	 noun	an area belonging to a country or person
area	area	 noun	an area that is part of a surface
area	area	 noun	an area of knowledge, duties, study etc
area	area	 noun	when a place has people living in it
area	area	 noun	how big or small something is
area	area	 noun	when things are spread around in a messy way
argue	argue	 verb	to argue
argue	argue	 verb	to argue about something very unimportant
argue	argue	 verb	to deliberately start an argument
argue	argue	 verb	an argument
argue	argue	 verb	an argument about something unimportant
argue	argue	 verb	someone who likes arguing
argue	argue	 verb	to stop arguing
argue	argue	 verb	when a bad situation or problem makes people argue
argue	argue	 verb	to say clearly what your opinion is
argument	argument	 noun	an argument
argument	argument	 noun	why something is right or should be done
argumentative	argumentative	 adjective	someone who likes arguing
arid	arid	 adjective	when there is not much rain
aridity	arid	 adjective	when there is not much rain
arise	arise	 verb	to happen
arise	arise	 verb	when one thing happens because of another
arise	arise	 verb	to start to exist
aristocracy	aristocracy	 noun	belonging to the highest class
ark	ark	 noun	extremely old-fashioned
arm	arm	 noun	to hold someone's hand, arm etc
arm	arm	 noun	to try hard to persuade someone
arm	arm	 noun	to want something very much
arm	arm	 verb	to get weapons or provide someone with weapons
armchair	armchair	 adjective	to not take part in something
armed	armed	 adjective	having weapons
armed	armed	 adjective	the army, navy etc
army	army	 noun	the army, navy etc
army	army	 noun	someone who is in the army, navy etc
army	army	 noun	used by or connected with the army, navy etc
army	army	 noun	to join the army, navy etc
army	army	 noun	when people are made to join the army, navy etc
aroma	aroma	 noun	a good smell
aromatic	aromatic	 adjective	to have a good smell
around	around	 adverb	around someone or something
around	around	 adverb	to be surrounded by something
around	around	 adverb	to move into a position around someone or something
around	around	 adverb	moving in a circle or moving around something
around	around	 adverb	to ask several people questions
around	around	 adverb	to avoid doing something that you should do
around	around	 adverb	to avoid something bad that could happen to you
around	around	 adverb	to change your opinion or belief about something
around	around	 adverb	not stopping, even at night
around	around	 adverb	to do something after a delay or pause
around	around	 adverb	knowing about life, people, and the world
around	around	 adverb	to not be here
around	around	 adverb	to look at a lot of things you might buy, read, etc
around	around	 adverb	easy to get to
around	around	 adverb	in or to a place, when you do not know which place
around	around	 adverb	information/feelings/ideas/problems etc
around	around	 adverb	when a disease spreads
around	around	 adverb	a place that you are not in now
around	around	 adverb	to be in a place where you are not now
around	around	 adverb	to travel to a lot of different places
around	around	 adverb	to go around in circles
around	around	 adverb	to visit a person
around	around	 adverb	to stop sleeping
arouse	arouse	 verb	to make someone have a particular feeling
arouse	arouse	 verb	to make someone expect something
arouse	arouse	 verb	wanting to have sex
arrange	arrange	 verb	to arrange a group of things or people
arrange	arrange	 verb	the way that things or people are arranged
arrange	arrange	 verb	to arrange to do something or arrange for something to happen
arrange	arrange	 verb	to arrange to use a plane, train, hotel room, restaurant etc
arrange	arrange	 verb	to carefully or secretly arrange something
arrange	arrange	 verb	things that must be arranged for something to happen
arranged marriage	arranged marriage	 noun	to find a husband or wife for someone
arrangement	arrangement	 noun	the way that things or people are arranged
arrangement	arrangement	 noun	things that must be arranged for something to happen
arrangement	arrangement	 noun	to arrange to do something or arrange for something to happen
arrangement	arrangement	 noun	to make plans
arrears	arrears	 noun	what you say when someone or something is late
arrears	arrears	 noun	to owe money to someone
arrest	arrest	 verb	when the police catch a criminal
arrest	arrest	 noun	when you are forced to stay somewhere
arrest	arrest	 noun	to be kept in a place by the police
arrival	arrival	 noun	when something or someone arrives
arrival	arrival	 noun	the time when something is first used or discovered
arrival	arrival	 noun	someone who has just started a new job, school etc
arrival	arrival	 noun	to start to exist
arrive	arrive	 verb	to arrive somewhere
arrive	arrive	 verb	a plane, ship, train, bus etc arrives
arrive	arrive	 verb	when something or someone arrives
arrive	arrive	 verb	to arrive somewhere without intending to
arrive	arrive	 verb	to arrive unexpectedly
arrive	arrive	 verb	when a baby is born
arrogance	arrogance	 noun	an unreasonable feeling of pride
arrogant	arrogant	 adjective	too proud
arrogantly	arrogant	 adjective	too proud
arsenal	arsenal	 noun	a weapon
arson	arson	 noun	to make or start a fire
art	art	 noun	art and culture
art	art	 noun	something that an artist has produced
art	art	 noun	relating to art or culture
art	art	 noun	someone who produces art
art	art	 noun	good at producing art
art	art	 noun	someone who is very interested in the arts
art	art	 noun	someone who does not like art
art	art	 noun	a place where art is shown
artefact	artefact	 noun	a thing
article	article	 noun	part of a law or legal agreement
article	article	 noun	parts of newspapers
article	article	 noun	a thing
articulate	articulate	 adjective	expressing your ideas clearly and well
articulately	articulate	 adjective	expressing your ideas clearly and well
artifact	artifact	 noun	a thing
artificial	artificial	 adjective	not made of natural materials or substances
artificial	artificial	 adjective	made to look real or natural
artificial	artificial	 adjective	to change your way of speaking or behaving in order to impress people
artificiality	artificial	 adjective	not made of natural materials or substances
artificiality	artificial	 adjective	made to look real or natural
artificiality	artificial	 adjective	to change your way of speaking or behaving in order to impress people
artificially	artificial	 adjective	not made of natural materials or substances
artificially	artificial	 adjective	made to look real or natural
artificially	artificial	 adjective	to change your way of speaking or behaving in order to impress people
artist	artist	 noun	someone who produces art
artist	artist	 noun	someone who paints pictures
artist	artist	 noun	someone who performs in a show, concert, play etc
artistic	artistic	 adjective	good at producing art
artistic	artistic	 adjective	relating to art or culture
artistic	artistic	 adjective	thing/building
artistic	artistic	 adjective	dressed, arranged, decorated etc in a beautiful way
artistically	artistic	 adjective	good at producing art
artistically	artistic	 adjective	relating to art or culture
artistically	artistic	 adjective	thing/building
artistically	artistic	 adjective	dressed, arranged, decorated etc in a beautiful way
arty	arty	 adjective	someone who is very interested in the arts
as	as	 preposition	when a play, film etc has a particular actor in it
as	as	 preposition	and/also
as	as	 preposition	when one thing is being compared with another
as	as	 preposition	the same in number, amount, level etc as something else
as	as	 preposition	immediately after something else happens
as	as	 preposition	what you say when you think something is true, but you are not sure
as	as	 preposition	what you say when giving your opinion
as	as	 preposition	in the same way as things usually happen
as	as	 conjunction	happening now, but likely to change
as	as	 conjunction	the same in amount or number
as	as	 conjunction	when a situation affects what happens or what you do
as	as	 conjunction	while something else is happening
as	as	 conjunction	in the same way as things usually happen
as	as	 conjunction	done in a particular way
ascend	ascend	 verb	to move up a slope or upstairs
ascend	ascend	 verb	to move upwards through the air
ascent	ascent	 noun	to climb up or down something
ascertain	ascertain	 verb	to make sure that something is true or correct
ascertainable	ascertain	 verb	to make sure that something is true or correct
ashamed	ashamed	 adjective	ashamed
ashamed	ashamed	 adjective	the feeling of being ashamed
ashamed	ashamed	 adjective	to make someone feel ashamed
ashamed	ashamed	 adjective	not feeling ashamed
ashamed	ashamed	 adjective	to feel guilty
ashore	ashore	 adverb	the land compared with the sea or air
aside	aside	 adverb	to keep something so that someone else can use it later
aside	aside	 adverb	to save money
ask	ask	 verb	to ask someone a question
ask	ask	 verb	to ask several people questions
ask	ask	 verb	to ask someone a lot of questions
ask	ask	 verb	when the police, a court etc asks someone about a crime
ask	ask	 verb	to ask someone questions for a newspaper, TV programme etc
ask	ask	 verb	to ask someone questions to decide whether to offer them a job etc
ask	ask	 verb	something that you ask someone
ask	ask	 verb	a set of questions
ask	ask	 verb	to ask for something, or to ask someone to do something
ask	ask	 verb	ways of asking someone to do something or to let you have something
ask	ask	 verb	to ask strongly for something or for someone to do something
ask	ask	 verb	to keep asking for something in an annoying way
ask	ask	 verb	to ask for something officially
ask	ask	 verb	to ask for money or food because you do not have any
ask	ask	 verb	to ask a professional person to do some work for you
ask	ask	 verb	to ask for help or kindness
ask	ask	 verb	a statement, letter, message etc in which you ask for something
ask	ask	 verb	to deserve something bad
ask	ask	 verb	ways of asking about direction
ask	ask	 verb	to tell someone that they can come into your house, room etc
ask	ask	 verb	to invite someone
ask	ask	 verb	to not know a fact or piece of information
ask	ask	 verb	to tell someone to do something
ask	ask	 verb	what you say when giving your opinion
ask	ask	 verb	when you ask what time it is
ask	ask	 noun	to ask someone a question
ask	ask	 noun	to ask several people questions
ask	ask	 noun	to ask someone a lot of questions
ask	ask	 noun	when the police, a court etc asks someone about a crime
ask	ask	 noun	to ask someone questions for a newspaper, TV programme etc
ask	ask	 noun	to ask someone questions to decide whether to offer them a job etc
ask	ask	 noun	something that you ask someone
ask	ask	 noun	a set of questions
ask	ask	 noun	to ask for something, or to ask someone to do something
ask	ask	 noun	ways of asking someone to do something or to let you have something
ask	ask	 noun	to ask strongly for something or for someone to do something
ask	ask	 noun	to keep asking for something in an annoying way
ask	ask	 noun	to ask for something officially
ask	ask	 noun	to ask for money or food because you do not have any
ask	ask	 noun	to ask a professional person to do some work for you
ask	ask	 noun	to ask for help or kindness
ask	ask	 noun	a statement, letter, message etc in which you ask for something
ask	ask	 noun	to invite someone
asleep	asleep	 adjective	to sleep
asleep	asleep	 adjective	to start sleeping
aspect	aspect	 noun	part of a situation/subject/someone's character
aspect	aspect	 noun	a part of a subject that is being discussed or written about
aspiration	aspiration	 noun	something that you want to achieve in your life
aspire	aspire	 verb	to have an aim in life that you want to achieve
aspiring	aspiring	 adjective	to have an aim in life that you want to achieve
ass	ass	 noun	to work extremely hard
assassin	assassin	 noun	someone who kills another person
assassinate	assassinate	 verb	to kill someone
assassination	assassination	 noun	the act or crime of killing someone
assassination	assassination	 noun	to damage the reputation of someone or something
assault	assault	 noun	an attack against a person
assault	assault	 noun	a military attack
assault	assault	 verb	to attack someone
assemble	assemble	 verb	to get a large number of things from several different places or people
assemble	assemble	 verb	when people come together to form a group
assemble	assemble	 verb	to make something
assemble	assemble	 verb	when a large group comes together in one place
assert	assert	 verb	to say that something is definitely true
assertive	assertive	 adjective	confident
assertively	assertive	 adjective	confident
assertiveness	assertive	 adjective	confident
assess	assess	 verb	to calculate an amount or price
assess	assess	 verb	to decide how good, bad etc someone or something is
assessment	assessment	 noun	a test of your knowledge or skill
asset	asset	 noun	something that makes you more likely to be successful
asset	asset	 noun	all the money that a person, company etc has
asset	asset	 noun	the things that someone owns
assign	assign	 verb	to give someone work to do
assignment	assignment	 noun	a piece of work that you have to do
assimilate	assimilate	 verb	to understand new facts after studying them
assist	assist	 verb	to help someone
assist	assist	 verb	ways of saying that something helps you to do something
assistance	assistance	 noun	help that is given
assistance	assistance	 noun	to help someone
assistant	assistant	 adjective	someone who is in a lower position than someone else
assistant	assistant	 noun	someone who helps another person to do something
associate	associate	 verb	to say, believe, or prove that there is a connection between two facts, events, or people
associate	associate	 verb	to be connected with a fact, event, idea etc
association	association	 noun	an organization for people who have the same interests or aims
assorted	assorted	 adjective	words for describing things or people that are of different kinds
assortment	assortment	 noun	a number of things thought of as a group
assortment	assortment	 noun	a group of people who are similar or have similar ideas
assortment	assortment	 noun	words for describing things or people that are of different kinds
assume	assume	 verb	to change your way of speaking or behaving in order to impress people
assume	assume	 verb	to agree to be responsible for something
assume	assume	 verb	to think that something is true, but not be sure
assuming	assuming	 conjunction	when something will happen if something else happens first
assumption	assumption	 noun	to think that something is true, but not be sure
assurance	assurance	 noun	a confident feeling
